                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  1.283,                0.82336,                 1.9554,                0.99949,                      1,                  0.995,                0.70168,                  1.087,                0.65241,                 1.7681,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2161,                0.82196,                 1.9077,                0.99946,                      1,                  0.995,                0.68853,                 1.1259,                0.58667,                 1.7852,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1642,                0.71779,                 1.8699,                0.99933,                      1,                  0.995,                0.70819,                 1.0525,                0.55267,                 1.7225,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2269,                0.76977,                 1.9064,                0.99969,                      1,                  0.995,                0.66484,                 1.1451,                0.53665,                 1.8131,               0.000713,               0.000713,               0.000713
                     67,                 1.2376,                0.77146,                 1.9187,                0.99977,                      1,                  0.995,                0.70539,                 1.0736,                0.51414,                 1.7374,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2119,                0.75261,                 1.9122,                      1,                0.99988,                  0.995,                0.70372,                 1.0788,                0.53499,                 1.7276,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.2071,                0.76789,                 1.8931,                0.99951,                      1,                  0.995,                0.71865,                 1.0719,                0.54053,                 1.7225,              0.0006536,              0.0006536,              0.0006536
                     70,                  1.228,                0.75659,                 1.9214,                0.99952,                      1,                  0.995,                0.71272,                 1.0412,                 0.5737,                 1.6976,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1927,                0.73288,                 1.8747,                0.99955,                      1,                  0.995,                0.70999,                 1.0685,                0.51789,                 1.7351,               0.000614,               0.000614,               0.000614
                     72,                 1.1667,                0.72028,                 1.8867,                 0.9998,                      1,                  0.995,                0.69876,                  1.146,                0.50473,                 1.8251,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1686,                0.72493,                 1.8612,                      1,                0.99979,                  0.995,                0.68992,                 1.1064,                0.50541,                 1.7432,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1483,                0.73043,                 1.8456,                0.99968,                      1,                  0.995,                0.72996,                 1.0204,                 0.4748,                 1.6697,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1398,                0.71755,                 1.8502,                0.99966,                      1,                  0.995,                0.70041,                 1.0729,                0.47006,                 1.7195,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1337,                 0.7172,                 1.8369,                 0.9997,                      1,                  0.995,                0.71917,                 1.0211,                0.46346,                 1.6735,               0.000515,               0.000515,               0.000515
                     77,                 1.1799,                0.71203,                 1.8815,                0.99993,                      1,                  0.995,                0.71115,                 1.0638,                0.50082,                 1.7155,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1827,                0.72229,                 1.8633,                0.99948,                      1,                  0.995,                0.66598,                 1.1497,                0.57585,                  1.795,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1653,                0.71077,                   1.85,                0.99952,                      1,                  0.995,                0.71122,                  1.024,                0.51656,                 1.6825,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1408,                0.67728,                 1.8172,                0.99944,                      1,                  0.995,                0.71807,                 1.0131,                0.50277,                 1.6628,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1489,                0.69812,                 1.8276,                0.99951,                      1,                  0.995,                0.72223,                 0.9973,                0.49279,                 1.6531,               0.000416,               0.000416,               0.000416
                     82,                 1.1257,                0.65869,                 1.8299,                0.99952,                      1,                  0.995,                0.71978,                 1.0381,                0.47154,                 1.6909,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1396,                0.70563,                 1.8372,                0.99959,                      1,                  0.995,                0.72494,                 1.0132,                0.46623,                 1.6718,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0903,                0.66479,                 1.8056,                0.99955,                      1,                  0.995,                0.72536,                  1.012,                0.47279,                 1.6649,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.1035,                0.68469,                 1.8184,                0.99955,                      1,                  0.995,                 0.7265,                 1.0085,                0.46698,                 1.6524,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1575,                0.68966,                  1.833,                0.99961,                      1,                  0.995,                0.72969,                0.99854,                0.44966,                 1.6459,               0.000317,               0.000317,               0.000317
                     87,                 1.1625,                0.70662,                 1.8137,                0.99961,                      1,                  0.995,                0.73023,                0.99826,                0.43914,                 1.6402,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1268,                0.69533,                 1.8113,                0.99943,                      1,                  0.995,                0.72231,                  1.019,                0.44929,                 1.6669,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1366,                0.67761,                 1.8158,                0.99934,                      1,                  0.995,                0.73336,                0.99916,                0.45495,                 1.6455,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0534,                0.63037,                 1.8528,                0.99939,                      1,                  0.995,                0.71528,                 1.0552,                0.47694,                 1.6948,              0.0002378,              0.0002378,              0.0002378
                     91,                0.99955,                0.52128,                 1.7614,                0.99957,                      1,                  0.995,                 0.7389,                0.99537,                0.45383,                 1.6412,               0.000218,               0.000218,               0.000218
                     92,                 1.0353,                0.51523,                 1.7929,                0.99959,                      1,                  0.995,                0.72593,                 1.0027,                  0.463,                 1.6494,              0.0001982,              0.0001982,              0.0001982
                     93,                0.99662,                0.51082,                 1.7539,                0.99968,                      1,                  0.995,                0.72334,                 1.0088,                0.47501,                  1.661,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.014,                0.49818,                 1.7722,                0.99971,                      1,                  0.995,                0.74746,                0.98585,                0.45118,                 1.6309,              0.0001586,              0.0001586,              0.0001586
                     95,                  1.007,                0.48813,                 1.7672,                0.99969,                      1,                  0.995,                0.74163,                 1.0058,                0.44375,                 1.6417,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0111,                0.50072,                 1.7874,                0.99968,                      1,                  0.995,                0.73757,                 1.0027,                0.44187,                 1.6396,               0.000119,               0.000119,               0.000119
                     97,                 1.0027,                0.49292,                 1.7699,                0.99967,                      1,                  0.995,                0.75114,                0.97986,                0.43831,                 1.6184,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.98691,                 0.4792,                 1.7445,                0.99965,                      1,                  0.995,                0.75433,                0.97596,                0.43625,                 1.6152,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.97498,                0.47562,                 1.7462,                0.99957,                      1,                  0.995,                 0.7526,                0.97477,                0.42974,                 1.6141,               5.96e-05,               5.96e-05,               5.96e-05
